Latitude,Longitude,Band_2,Band_3,Band_4,Band_8,NDVI,Soil_Moisture,Land_Temperature,Rainfall,Elevation,Magnetic_Anomaly,Rock_Density,Geological_Score,Reserve_Tonnes,Manganese_Potential
20.374540118847364,79.69816171401975,0.1055398786515859,0.2316786247976763,0.1546822734943624,0.5137594610531515,0.5708920959462287,27.191172935627378,34.29989695708982,157.8388360114694,366.4995361525931,51.874784711470944,2.777908344893387,0.20117523228887946,60293.4569666322,Medium
20.950714306409917,79.53609636634413,0.21257028421350743,0.21771365717040586,0.14879151962879994,0.48226389732735886,0.6576769780339606,58.15841874117578,40.135808232499656,138.1528066995201,410.38961265626176,5.116550644547591,2.2068636345261994,0.0800634025289656,34239.02680651616,Low
20.731993941811407,79.30952761628633,0.31188375076292246,0.05897472303225249,0.4125018322084147,0.3867644757277866,0.27532752915474934,69.83427399421616,39.00402324475398,86.28244097069178,620.0010662611992,23.285855687609423,3.046873476025778,0.4744531798445233,53383.193543270645,Medium
20.59865848419704,79.81379501970694,0.26966746592286833,0.16943673966915473,0.14981847993980246,0.5780235718059665,0.5374118697248993,11.801560319763569,23.84749761734434,21.486802291633428,337.0024123329407,49.20017294320827,2.73573948688309,0.009969234734518495,41566.86213696208,Low
20.156018640442436,79.68473117255388,0.2919683443584349,0.18306846657505,0.1587798904514524,0.2002372577642014,0.5002221882006241,63.84195194745592,23.731236743536847,134.1350210371872,628.3073266466943,31.023528374470477,2.188644660268345,0.08476615442633317,29147.06367191783,Low
20.155994520336204,79.16261693934489,0.2476350100132152,0.1895879733139152,0.3537593049671855,0.1546321051548107,0.6829812637517898,47.357832015919485,26.704359193622835,85.6939773693159,198.47393703718032,18.176359776119423,3.154805668977448,0.8076258695629751,55900.757775895014,Medium
20.0580836121682,79.91092718449384,0.25768296935535573,0.25306032922956634,0.229895936980216,0.526980983477711,0.7342609423368824,68.40295714988926,29.02686815852593,188.95990916342308,577.2391404647469,50.41328419184383,2.622038556002385,0.7714733448596064,80390.43858159205,High
20.866176145774936,79.82253724292318,0.3047586954695958,0.23676089135440748,0.3606842227820725,0.3195749083168742,0.10850974003417077,37.90057105158566,30.211389535212064,25.507641012211202,616.151198180105,32.28097934478503,2.087478142245986,0.915138820404896,65527.0501332322,High
20.601115011743207,79.94979991329193,0.12490040265775579,0.26276678247770563,0.0761464630257541,0.5234844271035303,0.5718139433411549,60.84327583428242,36.99243042083363,154.5103966003319,249.9997090605363,25.810764317341473,2.752199485298081,0.8545154359107495,54291.22746750399,Medium
20.708072577796045,79.72571950838837,0.19682748909294212,0.3177091415397449,0.24502847746935374,0.5465451025977075,0.13628505938381033,13.743644115896634,21.417010804145885,236.53907462639503,386.69059280471026,46.39854174403808,2.3038386884153725,0.6831755632398181,65579.221647334,Medium
20.020584494295804,79.61341519593579,0.11636283254588067,0.33454500855063274,0.06344544007331306,0.13122879680953572,0.4842010655541492,30.116743004697742,20.86681760565166,60.114131435644886,241.02487606501057,13.328425808217315,2.964432142252763,0.05233285730066284,33885.18760686594,Low
